TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0106,03,5,1220,3649415,0,58587,1,X,12,2024
1,0106,03,5,1220,61753,0,846,2,X,12,2024
1,0106,04,5,1220,128180,0,1402,1,X,12,2024
1,0106,05,5,1220,117459,0,3086,1,X,12,2024
1,0106,06,5,1220,27837,0,79,1,X,12,2024
1,0106,06,5,1220,171718,0,154,2,X,12,2024
1,0106,07,5,1220,55769,0,1423,1,X,12,2024
1,0106,08,5,1220,46075,0,3158,1,X,12,2024
1,0106,08,5,1220,1635750,0,32037,2,X,12,2024
1,0106,09,5,1220,2827,0,237,1,X,12,2024
1,0106,09,5,1220,16212,0,316,2,X,12,2024
1,0106,10,5,1220,18171,0,397,1,X,12,2024
1,0106,11,5,1220,69290,0,4543,1,X,12,2024
1,0106,12,5,1220,175889,0,18954,1,X,12,2024
1,0106,12,5,1220,62452,0,55,2,X,12,2024
1,0106,16,5,1220,35726,0,35,1,X,12,2024
1,0106,18,5,1220,20050,0,2191,1,X,12,2024
1,0106,19,5,1220,958730,0,31601,1,X,12,2024
1,0106,20,5,1220,766124,0,6857,1,X,12,2024
1,0106,20,5,1220,73373,0,210,2,X,12,2024
1,0106,21,5,1220,120826,0,5566,1,X,12,2024
1,0106,22,5,1220,53087,0,3381,1,X,12,2024
1,0106,22,5,1220,73250,0,3614,2,X,12,2024
1,0106,23,5,1220,32461,0,632,1,X,12,2024
1,0106,25,5,1220,234971,0,12870,1,X,12,2024
1,0106,26,6,1220,9849,0,1314,1,X,12,2024
1,0106,27,5,1220,1542539,0,33360,1,X,12,2024
1,0106,28,5,1220,387839,0,17644,1,X,12,2024
1,0106,29,5,1220,595415,0,7034,1,X,12,2024
1,0106,29,5,1220,504855,0,20702,2,X,12,2024
1,0106,31,5,1220,167835,0,18948,1,X,12,2024
1,0106,32,5,1220,219575,0,1619,1,X,12,2024
1,0106,33,5,1220,6731,0,256,2,X,12,2024
1,0106,34,5,1220,117793,0,4217,1,X,12,2024
1,0106,35,5,1220,33341,0,2150,1,X,12,2024
1,0106,38,5,1220,347121,0,14751,1,X,12,2024
1,0106,38,5,1220,106155,0,6316,2,X,12,2024
1,0106,39,5,1220,4115431,0,131326,1,X,12,2024
1,0106,39,5,1220,237683,0,4496,2,X,12,2024
1,0106,40,5,1220,3703262,0,207328,1,X,12,2024
1,0106,40,5,1220,184365,0,7335,2,X,12,2024
1,0106,42,5,1220,2631,0,58,1,X,12,2024
1,0106,44,5,1220,1095002,0,31327,1,X,12,2024
1,0106,44,5,1220,308065,0,6147,2,X,12,2024
1,0106,47,5,1220,525009,0,10970,1,X,12,2024
1,0106,47,5,1220,142373,0,1331,2,X,12,2024
1,0106,48,5,1220,2082320,0,116326,1,X,12,2024
1,0106,48,5,1220,320248,0,1444,2,X,12,2024
1,0106,48,8,1220,8023,0,163,1,X,12,2024
1,0106,56,5,1220,824361,0,4262,1,X,12,2024
1,0106,57,5,1220,36254,0,1028,1,X,12,2024
1,0106,57,5,1220,5289,0,82,2,X,12,2024
1,0106,59,5,1220,328715,0,8072,1,X,12,2024
1,0106,59,5,1220,5918,0,70,2,X,12,2024
1,0106,63,5,1220,67806,0,3412,1,X,12,2024
1,0106,63,5,1220,20037,0,2103,2,X,12,2024
1,0106,64,5,1220,3199,0,98,1,X,12,2024
1,0106,64,5,1220,4174,0,93,2,X,12,2024
