TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,0103,87,5,1220,1,X,2024,127515,0,1108
1,0103,87,5,1220,2,X,2024,411432,0,3294
1,0103,89,5,1220,1,X,2024,89626,0,0
1,0103,90,5,1220,1,X,2024,3854,0,3
1,0103,90,8,1220,1,X,2024,2732,0,69
1,0104,01,5,1220,1,X,2024,2437401,0,46150
1,0104,07,5,1220,1,X,2024,291671,0,11238
1,0104,08,5,1220,1,X,2024,916609,0,24846
1,0104,10,6,1220,1,X,2024,122510,0,2398
1,0104,11,5,1220,1,X,2024,190546,0,5488
1,0104,13,5,1220,1,X,2024,12928,0,200
1,0104,13,5,1220,2,X,2024,8521,0,166
1,0104,15,5,1220,2,X,2024,128478,0,1271
1,0104,17,5,1220,1,X,2024,2320721,0,97414
1,0104,19,5,1220,1,X,2024,603931,0,53447
1,0104,20,5,1220,1,X,2024,24835,0,487
1,0104,21,5,1220,1,X,2024,662870,0,660
1,0104,25,5,1220,1,X,2024,408651,0,7878
1,0104,25,6,1220,1,X,2024,35126,0,3317
1,0104,27,5,1220,1,X,2024,55894,0,1092
1,0104,28,5,1220,1,X,2024,177864,0,22838
1,0104,28,6,1220,1,X,2024,23746,0,1090
1,0104,29,5,1220,1,X,2024,143786,0,2832
1,0104,29,5,1220,2,X,2024,15618,0,1890
1,0104,31,5,1220,1,X,2024,508343,0,53829
1,0104,32,5,1220,1,X,2024,231111,0,4245
1,0104,32,5,1220,2,X,2024,116238,0,1937
1,0104,34,5,1220,1,X,2024,32619,0,1232
1,0104,35,5,1220,1,X,2024,2736,0,136
1,0104,35,5,1220,2,X,2024,2789,0,138
1,0104,38,5,1220,1,X,2024,718921,0,13045
1,0104,39,5,1220,1,X,2024,964774,0,31572
1,0104,39,5,1220,2,X,2024,154691,0,5891
1,0104,39,6,1220,1,X,2024,522625,0,9735
1,0104,40,5,1220,1,X,2024,986447,0,69311
1,0104,40,5,1220,2,X,2024,49513,0,965
1,0104,44,5,1220,1,X,2024,94067325,0,2629087
1,0104,44,5,1220,2,X,2024,415913,0,4156
1,0104,44,6,1220,1,X,2024,71753,0,2261
1,0104,47,5,1220,1,X,2024,10226232,0,198620
1,0104,47,6,1220,1,X,2024,1376254,0,20327
1,0104,48,5,1220,1,X,2024,90399113,0,5589003
1,0104,48,5,1220,2,X,2024,73337,0,1109
1,0104,48,6,1220,1,X,2024,3121431,0,27979
1,0104,49,5,1220,1,X,2024,7673,0,113
1,0104,51,5,1220,1,X,2024,5683,0,44
1,0104,54,5,1220,1,X,2024,2347909,0,25862
1,0104,54,5,1220,2,X,2024,55620,0,820
1,0104,55,5,1220,1,X,2024,4435843,0,47248
1,0104,55,5,1220,2,X,2024,22122,0,217
1,0104,56,5,1220,1,X,2024,301730,0,4079
1,0104,56,5,1220,2,X,2024,15093,0,213
1,0104,57,5,1220,1,X,2024,88157,0,1040
1,0104,57,5,1220,2,X,2024,2563,0,40
1,0104,59,5,1220,1,X,2024,197160,0,4919
1,0104,59,5,1220,2,X,2024,40209,0,886
1,0104,62,5,1220,2,X,2024,7349,0,54
1,0104,63,5,1220,1,X,2024,95685,0,1369
1,0104,63,5,1220,2,X,2024,4565,0,45
1,0104,68,5,1220,1,X,2024,4816996,0,225943
1,0104,69,5,1220,1,X,2024,159294,0,4622
1,0104,69,5,1220,2,X,2024,3378,0,66
1,0104,70,5,1220,1,X,2024,38853,0,2095
1,0104,70,5,1220,2,X,2024,22570,0,1205
1,0104,70,8,1220,2,X,2024,2568,0,61
1,0104,71,5,1220,1,X,2024,242093,0,2692
1,0104,72,5,1220,1,X,2024,511917,0,31717
1,0104,72,6,1220,1,X,2024,7751561,0,225362
1,0104,73,5,1220,1,X,2024,768702,0,20159
1,0104,73,5,1220,2,X,2024,213148,0,5665
1,0104,73,6,1220,1,X,2024,590431,0,19275
1,0104,74,5,1220,1,X,2024,1677488,0,19424
1,0104,74,5,1220,2,X,2024,5335,0,118
1,0104,74,6,1220,1,X,2024,34833,0,457
1,0104,75,5,1220,1,X,2024,26816,0,370
1,0104,76,5,1220,1,X,2024,2555084,0,189208
1,0104,76,6,1220,1,X,2024,53817,0,798
1,0104,78,5,1220,1,X,2024,2624,0,42
1,0104,80,5,1220,1,X,2024,9831,0,595
1,0104,81,5,1220,1,X,2024,8006,0,96
1,0104,82,5,1220,1,X,2024,79180,0,1674
1,0104,82,5,1220,2,X,2024,59289,0,1162
1,0104,83,5,1220,1,X,2024,35433,0,876
1,0104,83,5,1220,2,X,2024,3337,0,62
1,0104,84,5,1220,1,X,2024,3414531,0,71113
1,0104,84,5,1220,2,X,2024,2650497,0,72831
1,0104,85,5,1220,1,X,2024,981012,0,17567
