TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0104,76,5,1220,93095,0,11738,1,X,01,2025
1,0104,82,5,1220,9393,0,164,1,X,01,2025
1,0104,82,5,1220,5014,0,87,2,X,01,2025
1,0104,84,5,1220,232076,0,4471,1,X,01,2025
1,0104,84,5,1220,408619,0,11079,2,X,01,2025
1,0104,85,5,1220,29582,0,722,1,X,01,2025
1,0104,85,5,1220,19673,0,298,2,X,01,2025
1,0104,87,5,1220,1065027,0,23598,1,X,01,2025
1,0104,87,5,1220,7734,0,129,2,X,01,2025
1,0104,89,5,1220,3214,0,47,1,X,01,2025
1,0104,94,5,1220,4640,0,40,1,X,01,2025
1,0104,94,6,1220,3174,0,71,2,X,01,2025
1,0104,95,5,1220,4961,0,73,2,X,01,2025
1,0105,23,6,1220,35492,0,695,1,X,01,2025
1,0105,25,5,1220,6046,0,13,1,X,01,2025
1,0105,25,6,1220,175912,0,16609,2,X,01,2025
1,0105,27,6,1220,239391,0,2370,1,X,01,2025
1,0105,28,6,1220,65129,0,138,1,X,01,2025
1,0105,38,6,1220,759185,0,7515,1,X,01,2025
1,0105,39,5,1220,25442,0,498,1,X,01,2025
1,0105,40,5,1220,34594,0,2346,1,X,01,2025
1,0105,44,5,1220,36988,0,724,2,X,01,2025
1,0105,44,6,1220,774506,0,15732,1,X,01,2025
1,0105,68,6,1220,1108393,0,52546,1,X,01,2025
1,0105,70,5,1220,32949,0,646,1,X,01,2025
1,0105,73,5,1220,6452,0,779,1,X,01,2025
1,0106,01,5,1220,268979,0,3744,1,X,01,2025
1,0106,03,5,1220,48619,0,2985,1,X,01,2025
1,0106,03,5,1220,409616,0,5614,2,X,01,2025
1,0106,04,5,1220,91545,0,1513,1,X,01,2025
1,0106,05,5,1220,223707,0,4641,1,X,01,2025
1,0106,06,5,1220,71379,0,164,1,X,01,2025
1,0106,06,5,1220,767192,0,710,2,X,01,2025
1,0106,07,5,1220,133295,0,6368,1,X,01,2025
1,0106,08,5,1220,565368,0,27130,1,X,01,2025
1,0106,08,5,1220,1295964,0,28623,2,X,01,2025
1,0106,09,5,1220,26177,0,521,1,X,01,2025
1,0106,09,5,1220,17658,0,343,2,X,01,2025
1,0106,10,5,1220,22346,0,709,1,X,01,2025
1,0106,11,5,1220,63698,0,7567,1,X,01,2025
1,0106,12,5,1220,110923,0,12517,1,X,01,2025
1,0106,12,5,1220,77430,0,68,2,X,01,2025
1,0106,15,5,1220,172938,0,1308,1,X,01,2025
1,0106,16,5,1220,89962,0,87,1,X,01,2025
1,0106,17,5,1220,22846,0,3040,1,X,01,2025
1,0106,18,5,1220,159098,0,6252,1,X,01,2025
1,0106,19,5,1220,1869700,0,100305,1,X,01,2025
1,0106,20,5,1220,940442,0,11414,1,X,01,2025
1,0106,21,5,1220,119067,0,3661,1,X,01,2025
1,0106,22,5,1220,155916,0,8096,1,X,01,2025
1,0106,23,5,1220,304138,0,2917,1,X,01,2025
1,0106,23,6,1220,3405,0,66,1,X,01,2025
1,0106,25,5,1220,285777,0,18003,1,X,01,2025
1,0106,25,5,1220,5846,0,5,2,X,01,2025
1,0106,27,5,1220,1459417,0,30194,1,X,01,2025
1,0106,28,5,1220,1209413,0,55534,1,X,01,2025
1,0106,28,5,1220,9841,0,468,2,X,01,2025
1,0106,29,5,1220,276614,0,4764,1,X,01,2025
1,0106,29,5,1220,239388,0,10526,2,X,01,2025
1,0106,31,5,1220,86241,0,9381,1,X,01,2025
1,0106,32,5,1220,613410,0,13309,1,X,01,2025
1,0106,32,5,1220,4736,0,92,2,X,01,2025
1,0106,33,5,1220,32343,0,833,1,X,01,2025
1,0106,33,5,1220,282749,0,4675,2,X,01,2025
1,0106,34,5,1220,303820,0,14486,1,X,01,2025
1,0106,35,5,1220,79071,0,3204,1,X,01,2025
1,0106,38,5,1220,329282,0,11882,1,X,01,2025
1,0106,38,5,1220,158433,0,9637,2,X,01,2025
1,0106,39,5,1220,5192701,0,168564,1,X,01,2025
1,0106,39,5,1220,393017,0,17918,2,X,01,2025
1,0106,40,5,1220,4120116,0,223823,1,X,01,2025
1,0106,40,5,1220,262982,0,7506,2,X,01,2025
1,0106,42,5,1220,2578,0,63,1,X,01,2025
1,0106,42,5,1220,2923,0,58,2,X,01,2025
1,0106,44,5,1220,1139125,0,42232,1,X,01,2025
1,0106,44,5,1220,387954,0,6685,2,X,01,2025
1,0106,47,5,1220,388060,0,6227,1,X,01,2025
1,0106,47,5,1220,16311,0,1520,2,X,01,2025
1,0106,48,5,1220,2840516,0,132285,1,X,01,2025
1,0106,48,5,1220,347713,0,1124,2,X,01,2025
1,0106,52,5,1220,3587,0,88,2,X,01,2025
